000838.XSHE,-1.328914
000839.XSHE,0.004825
000848.XSHE,-1.470307
000850.XSHE,-0.656583
000852.XSHE,-0.556975
000856.XSHE,-0.453157
000858.XSHE,-1.3849
000859.XSHE,0.107837
000860.XSHE,-1.160576
000862.XSHE,-0.514679
000863.XSHE,0.071458
000868.XSHE,-0.682815
000869.XSHE,-1.142429
000875.XSHE,-0.626687
000876.XSHE,-1.02608
000877.XSHE,-0.625962
000878.XSHE,1.062305
000880.XSHE,0.861508
000881.XSHE,-0.237204
000882.XSHE,-0.646171
000883.XSHE,-1.091892
000885.XSHE,-0.977067
000886.XSHE,-0.717416
000887.XSHE,0.649966
000888.XSHE,-0.851331
000889.XSHE,0.956804
000890.XSHE,0.035352
000892.XSHE,0.256465
000893.XSHE,-0.766691
000895.XSHE,-1.747098
000897.XSHE,-0.815088
000898.XSHE,-0.761057
000899.XSHE,-0.587157
000900.XSHE,-1.089365
000901.XSHE,0.582018
000902.XSHE,-0.633138
000903.XSHE,-0.256212
000905.XSHE,-0.457765
000906.XSHE,-0.66833
000908.XSHE,-0.499021
000909.XSHE,-0.771507
000910.XSHE,-0.703633
000911.XSHE,-0.759169
000912.XSHE,-1.118546
000913.XSHE,-1.151416
000915.XSHE,-0.993487
000917.XSHE,0.341605
000919.XSHE,-0.724229
000920.XSHE,-0.296512
000921.XSHE,-0.789419
000922.XSHE,0.880815
000923.XSHE,0.29637
000925.XSHE,0.479261
000926.XSHE,-0.414994
000927.XSHE,-0.948796
000928.XSHE,-0.706831
000929.XSHE,-0.281721
000930.XSHE,-0.945586
000931.XSHE,-0.284392
000932.XSHE,-0.75778
000933.XSHE,-0.355773
000935.XSHE,0.124493
000936.XSHE,0.310174
000937.XSHE,-1.237835
000938.XSHE,1.066575
000948.XSHE,-0.780309
000949.XSHE,0.577906
000950.XSHE,-1.001025
000951.XSHE,-0.355037
000952.XSHE,-0.305068
000953.XSHE,-0.672101
000955.XSHE,-0.366544
000957.XSHE,-0.829523
000958.XSHE,-0.705612
000959.XSHE,-0.871674
000960.XSHE,2.326169
000962.XSHE,2.638799
000963.XSHE,-0.724707
000965.XSHE,-0.745095
000966.XSHE,-1.292609
000967.XSHE,1.405515
000968.XSHE,-1.625681
000969.XSHE,0.931524
000970.XSHE,0.536952
000972.XSHE,-1.117968
000973.XSHE,-0.015071
000975.XSHE,0.33504
000977.XSHE,1.55898
000978.XSHE,-0.597737
000980.XSHE,0.737914
000981.XSHE,0.502799
000983.XSHE,-1.157022
000985.XSHE,-0.819005
000987.XSHE,0.001726
000988.XSHE,2.282603
000989.XSHE,-0.600142
000990.XSHE,-0.621753
000993.XSHE,-0.48512
000995.XSHE,-1.065112
000997.XSHE,0.211594
000998.XSHE,-1.326423
000999.XSHE,-1.444236
001201.XSHE,-0.876776
001202.XSHE,-0.270528
001203.XSHE,-0.006154
001205.XSHE,-0.811189
001206.XSHE,-0.941081
001207.XSHE,-0.480489
001208.XSHE,0.093817
001209.XSHE,-0.293296
001210.XSHE,0.131913
001211.XSHE,-0.275036
001212.XSHE,1.066722
001213.XSHE,-1.178736
001215.XSHE,-0.272964
001216.XSHE,-0.288226
001217.XSHE,-0.685623
001218.XSHE,-0.141686
001219.XSHE,-0.96659
001220.XSHE,-0.721253
001221.XSHE,-0.097293
001222.XSHE,-0.792906
001223.XSHE,1.099001
001225.XSHE,0.027263
001226.XSHE,0.303796
001227.XSHE,-1.517777
001228.XSHE,-0.44432
001229.XSHE,-0.003099
001230.XSHE,-0.439358
001231.XSHE,-0.307571
001232.XSHE,1.88332
001233.XSHE,-0.582321
001234.XSHE,-0.522482
001236.XSHE,-0.333378
001237.XSHE,0.105128
001238.XSHE,-0.729068
001239.XSHE,-0.166834
001248.XSHE,0.048107
001255.XSHE,-0.125056
001256.XSHE,0.353418
001257.XSHE,0.344936
001258.XSHE,-0.496357
001259.XSHE,0.44017
001260.XSHE,-0.165975
001266.XSHE,1.054329
001267.XSHE,2.234156
001268.XSHE,0.209727
001269.XSHE,-0.267562
001270.XSHE,1.126002
001277.XSHE,-0.87518
001278.XSHE,-0.09061
001279.XSHE,-0.61053
001280.XSHE,0.284473
001282.XSHE,0.432661
001283.XSHE,0.544848
001285.XSHE,-0.397942
001286.XSHE,-0.980248
001287.XSHE,1.816969
001288.XSHE,0.463079
001289.XSHE,-1.121698
001296.XSHE,0.258992
001298.XSHE,0.802313
001299.XSHE,-0.652959
001300.XSHE,-0.108489
001301.XSHE,-0.79272
001306.XSHE,0.239223
001308.XSHE,-0.21205
001309.XSHE,2.213143
001311.XSHE,0.147761
001312.XSHE,-0.556352
001313.XSHE,-0.329259
001314.XSHE,0.199852
001316.XSHE,0.303318
001317.XSHE,-0.098915
001318.XSHE,-0.600625
001319.XSHE,-0.17661
001322.XSHE,-1.00447
001323.XSHE,-1.24559
001324.XSHE,-0.184619
001325.XSHE,-0.659707
001326.XSHE,0.87381
001328.XSHE,-0.957568
001330.XSHE,0.430203
001331.XSHE,0.742871
001332.XSHE,0.475494
001333.XSHE,-0.221215
001335.XSHE,-0.349361
001336.XSHE,-0.142523
001337.XSHE,0.923211
001338.XSHE,-1.36071
001339.XSHE,1.688163
